Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5980763,MH_12,COUNTRY,TJK,EUR,Europe,YEAR,2000,SEX,SEX_BTSX,,,,,,,5.1 [3.6-7.0],5.08,3.62,7.01,,2021-02-09T17:17:56Z,2000,2000-01-01,2000-12-31
5981549,MH_12,COUNTRY,HRV,EUR,Europe,YEAR,2018,SEX,SEX_MLE,,,,,,,17.8 [13.3-23.3],17.8361,13.2765,23.3352,,2021-02-09T16:46:16Z,2018,2018-01-01,2018-12-31
5981800,MH_12,COUNTRY,ERI,AFR,Africa,YEAR,2009,SEX,SEX_MLE,,,,,,,33.0 [17.8-53.5],32.9861,17.8087,53.5437,,2021-02-09T16:38:36Z,2009,2009-01-01,2009-12-31
5982465,MH_12,COUNTRY,BWA,AFR,Africa,YEAR,2003,SEX,SEX_FMLE,,,,,,,18.5 [6.7-36.3],18.4796,6.72,36.3029,,2021-02-09T16:29:54Z,2003,2003-01-01,2003-12-31
5982731,MH_12,COUNTRY,SWZ,AFR,Africa,YEAR,2019,SEX,SEX_MLE,,,,,,,78.7 [39.0-133.7],78.6703,39.026,133.6575,,2021-02-09T17:15:48Z,2019,2019-01-01,2019-12-31
5986160,MH_12,COUNTRY,ALB,EUR,Europe,YEAR,2005,SEX,SEX_BTSX,,,,,,,7.7 [4.9-10.0],7.68,4.93,9.99,,2021-02-09T16:20:51Z,2005,2005-01-01,2005-12-31
5987502,MH_12,REGION,EMR,,,YEAR,2019,SEX,SEX_MLE,,,,,,,9.2 [4.7-16.1],9.15,4.71,16.1331,,2021-02-09T17:25:32Z,2019,2019-01-01,2019-12-31
5989683,MH_12,REGION,WPR,,,YEAR,2016,SEX,SEX_FMLE,,,,,,,5.1 [4.2-6.8],5.09,4.23,6.81,,2021-02-09T17:25:42Z,2016,2016-01-01,2016-12-31
5993118,MH_12,WORLDBANKINCOMEGROUP,WB_LI,,,YEAR,2005,SEX,SEX_BTSX,,,,,,,12.3 [7.6-19.1],12.3168,7.59,19.095,,2021-02-09T17:25:35Z,2005,2005-01-01,2005-12-31
5993298,MH_12,COUNTRY,NAM,AFR,Africa,YEAR,2008,SEX,SEX_BTSX,,,,,,,19.7 [11.8-30.9],19.6556,11.7719,30.8905,,2021-02-09T17:02:36Z,2008,2008-01-01,2008-12-31
5993883,MH_12,COUNTRY,CPV,AFR,Africa,YEAR,2011,SEX,SEX_BTSX,,,,,,,18.2 [11.7-25.5],18.21,11.7077,25.5306,,2021-02-09T16:34:20Z,2011,2011-01-01,2011-12-31
5994524,MH_12,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2009,SEX,SEX_FMLE,,,,,,,3.8 [3.4-4.2],3.79,3.41,4.19,,2021-02-09T16:48:22Z,2009,2009-01-01,2009-12-31
5994778,MH_12,COUNTRY,GEO,EUR,Europe,YEAR,2002,SEX,SEX_BTSX,,,,,,,7.3 [5.6-9.5],7.34,5.56,9.53,,2021-02-09T16:42:14Z,2002,2002-01-01,2002-12-31
5995794,MH_12,COUNTRY,DJI,EMR,Eastern Mediterranean,YEAR,2016,SEX,SEX_BTSX,,,,,,,12.1 [6.0-21.6],12.0823,6,21.6277,,2021-02-09T16:36:28Z,2016,2016-01-01,2016-12-31
5996376,MH_12,COUNTRY,AGO,AFR,Africa,YEAR,2013,SEX,SEX_BTSX,,,,,,,14.2 [9.0-21.2],14.156,8.95,21.2201,,2021-02-09T16:20:25Z,2013,2013-01-01,2013-12-31
5997619,MH_12,COUNTRY,GBR,EUR,Europe,YEAR,2007,SEX,SEX_FMLE,,,,,,,2.9 [2.8-3.1],2.92,2.78,3.07,,2021-02-09T16:41:51Z,2007,2007-01-01,2007-12-31
5998016,MH_12,COUNTRY,SVK,EUR,Europe,YEAR,2012,SEX,SEX_BTSX,,,,,,,10.2 [7.2-25.4],10.2145,7.24,25.3731,,2021-02-09T17:14:42Z,2012,2012-01-01,2012-12-31
5999049,MH_12,COUNTRY,THA,SEAR,South-East Asia,YEAR,2002,SEX,SEX_FMLE,,,,,,,5.7 [4.0-8.0],5.74,3.95,8,,2021-02-09T17:17:34Z,2002,2002-01-01,2002-12-31
5999441,MH_12,COUNTRY,ECU,AMR,Americas,YEAR,2001,SEX,SEX_BTSX,,,,,,,7.3 [5.3-9.2],7.3,5.25,9.17,,2021-02-09T16:37:53Z,2001,2001-01-01,2001-12-31
6001070,MH_12,COUNTRY,BEN,AFR,Africa,YEAR,2000,SEX,SEX_MLE,,,,,,,23.6 [14.7-35.8],23.6397,14.7079,35.8162,,2021-02-09T16:24:44Z,2000,2000-01-01,2000-12-31
6002640,MH_12,COUNTRY,TON,WPR,Western Pacific,YEAR,2018,SEX,SEX_MLE,,,,,,,6.1 [3.8-9.6],6.14,3.75,9.55,,2021-02-09T17:18:57Z,2018,2018-01-01,2018-12-31
6003077,MH_12,COUNTRY,LVA,EUR,Europe,YEAR,2014,SEX,SEX_FMLE,,,,,,,5.2 [4.0-6.7],5.22,4.03,6.65,,2021-02-09T16:56:38Z,2014,2014-01-01,2014-12-31
6004136,MH_12,COUNTRY,CAN,AMR,Americas,YEAR,2007,SEX,SEX_FMLE,,,,,,,5.1 [4.4-5.7],5.05,4.39,5.74,,2021-02-09T16:30:37Z,2007,2007-01-01,2007-12-31
6004147,MH_12,WORLDBANKINCOMEGROUP,WB_UMI,,,YEAR,2013,SEX,SEX_MLE,,,,,,,12.1 [10.0-15.4],12.0743,10.0403,15.4071,,2021-02-09T17:25:39Z,2013,2013-01-01,2013-12-31
6005472,MH_12,COUNTRY,AGO,AFR,Africa,YEAR,2008,SEX,SEX_MLE,,,,,,,25.5 [16.3-38.0],25.5154,16.2889,38.0028,,2021-02-09T16:20:26Z,2008,2008-01-01,2008-12-31
6005592,MH_12,COUNTRY,NAM,AFR,Africa,YEAR,2001,SEX,SEX_FMLE,,,,,,,10.9 [6.1-17.6],10.917,6.09,17.629,,2021-02-09T17:02:36Z,2001,2001-01-01,2001-12-31
6006392,MH_12,COUNTRY,NLD,EUR,Europe,YEAR,2013,SEX,SEX_FMLE,,,,,,,5.6 [4.8-6.4],5.6,4.81,6.44,,2021-02-09T17:04:02Z,2013,2013-01-01,2013-12-31
6006878,MH_12,COUNTRY,MLT,EUR,Europe,YEAR,2014,SEX,SEX_FMLE,,,,,,,2.5 [1.8-3.3],2.47,1.8,3.33,,2021-02-09T16:59:22Z,2014,2014-01-01,2014-12-31
6008831,MH_12,COUNTRY,SLE,AFR,Africa,YEAR,2011,SEX,SEX_BTSX,,,,,,,11.7 [6.5-19.3],11.741,6.45,19.313,,2021-02-09T17:12:20Z,2011,2011-01-01,2011-12-31
6010802,MH_12,COUNTRY,ATG,AMR,Americas,YEAR,2005,SEX,SEX_BTSX,,,,,,,1.3 [0.9-1.8],1.32,0.934,1.78,,2021-02-09T16:22:27Z,2005,2005-01-01,2005-12-31
6014558,MH_12,COUNTRY,BOL,AMR,Americas,YEAR,2019,SEX,SEX_FMLE,,,,,,,4.2 [2.2-7.3],4.19,2.18,7.28,,2021-02-09T16:28:06Z,2019,2019-01-01,2019-12-31
6017476,MH_12,COUNTRY,IDN,SEAR,South-East Asia,YEAR,2019,SEX,SEX_MLE,,,,,,,4.0 [2.8-5.5],3.99,2.76,5.45,,2021-02-09T16:47:19Z,2019,2019-01-01,2019-12-31
6018961,MH_12,COUNTRY,AZE,EUR,Europe,YEAR,2004,SEX,SEX_BTSX,,,,,,,4.5 [2.8-6.1],4.5,2.82,6.05,,2021-02-09T16:23:37Z,2004,2004-01-01,2004-12-31
6018993,MH_12,COUNTRY,LVA,EUR,Europe,YEAR,2010,SEX,SEX_FMLE,,,,,,,4.0 [3.2-5.0],4.04,3.2,5.04,,2021-02-09T16:56:37Z,2010,2010-01-01,2010-12-31
6020215,MH_12,COUNTRY,EGY,EMR,Eastern Mediterranean,YEAR,2010,SEX,SEX_FMLE,,,,,,,2.5 [1.3-4.0],2.47,1.3,4.04,,2021-02-09T16:38:15Z,2010,2010-01-01,2010-12-31
6021057,MH_12,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2000,SEX,SEX_BTSX,,,,,,,27.4 [22.3-42.1],27.425,22.3326,42.0569,,2021-02-09T16:55:14Z,2000,2000-01-01,2000-12-31
6021416,MH_12,COUNTRY,TCD,AFR,Africa,YEAR,2016,SEX,SEX_MLE,,,,,,,20.8 [12.3-32.6],20.8081,12.3274,32.6399,,2021-02-09T17:16:50Z,2016,2016-01-01,2016-12-31
6021882,MH_12,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2010,SEX,SEX_MLE,,,,,,,7.1 [4.8-10.3],7.09,4.81,10.2987,,2021-02-09T16:25:33Z,2010,2010-01-01,2010-12-31
6023178,MH_12,COUNTRY,ITA,EUR,Europe,YEAR,2007,SEX,SEX_MLE,,,,,,,7.5 [7.1-15.0],7.49,7.07,14.9912,,2021-02-09T16:49:45Z,2007,2007-01-01,2007-12-31
6023613,MH_12,WORLDBANKINCOMEGROUP,WB_LI,,,YEAR,2003,SEX,SEX_MLE,,,,,,,18.9 [11.7-29.1],18.9138,11.6938,29.1259,,2021-02-09T17:25:36Z,2003,2003-01-01,2003-12-31
6024206,MH_12,COUNTRY,ETH,AFR,Africa,YEAR,2009,SEX,SEX_MLE,,,,,,,19.6 [14.7-28.0],19.6289,14.7438,27.9979,,2021-02-09T16:39:41Z,2009,2009-01-01,2009-12-31
6025087,MH_12,COUNTRY,CUB,AMR,Americas,YEAR,2019,SEX,SEX_BTSX,,,,,,,10.2 [7.5-18.0],10.1905,7.46,18.0084,,2021-02-09T16:35:01Z,2019,2019-01-01,2019-12-31
6025097,MH_12,REGION,AFR,,,YEAR,2007,SEX,SEX_FMLE,,,,,,,7.2 [4.4-11.1],7.23,4.36,11.0947,,2021-02-09T17:25:30Z,2007,2007-01-01,2007-12-31
6025854,MH_12,COUNTRY,GAB,AFR,Africa,YEAR,2003,SEX,SEX_MLE,,,,,,,28.3 [16.8-43.4],28.2948,16.7866,43.4415,,2021-02-09T16:41:30Z,2003,2003-01-01,2003-12-31
6026860,MH_12,COUNTRY,LBY,EMR,Eastern Mediterranean,YEAR,2003,SEX,SEX_FMLE,,,,,,,2.9 [1.7-4.6],2.9,1.65,4.57,,2021-02-09T16:54:33Z,2003,2003-01-01,2003-12-31
6027082,MH_12,COUNTRY,AZE,EUR,Europe,YEAR,2018,SEX,SEX_BTSX,,,,,,,3.9 [2.3-6.2],3.92,2.31,6.16,,2021-02-09T16:23:37Z,2018,2018-01-01,2018-12-31
6029069,MH_12,COUNTRY,BOL,AMR,Americas,YEAR,2008,SEX,SEX_BTSX,,,,,,,7.0 [3.9-11.3],7.01,3.94,11.3016,,2021-02-09T16:28:06Z,2008,2008-01-01,2008-12-31
6029504,MH_12,COUNTRY,FSM,WPR,Western Pacific,YEAR,2000,SEX,SEX_MLE,,,,,,,43.4 [24.2-64.5],43.3575,24.1577,64.5325,,2021-02-09T16:41:08Z,2000,2000-01-01,2000-12-31
6029701,MH_12,COUNTRY,CRI,AMR,Americas,YEAR,2017,SEX,SEX_BTSX,,,,,,,5.8 [4.4-18.1],5.79,4.38,18.0875,,2021-02-09T16:34:41Z,2017,2017-01-01,2017-12-31
6029788,MH_12,REGION,AMR,,,YEAR,2003,SEX,SEX_FMLE,,,,,,,3.4 [3.0-4.3],3.42,3.04,4.33,,2021-02-09T17:25:31Z,2003,2003-01-01,2003-12-31
6030048,MH_12,COUNTRY,BRN,WPR,Western Pacific,YEAR,2014,SEX,SEX_MLE,,,,,,,1.8 [1.2-2.4],1.8,1.23,2.43,,2021-02-09T16:29:10Z,2014,2014-01-01,2014-12-31
